hasoc_english_1	!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...	NOT
hasoc_english_2	!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!	HOF
hasoc_english_3	!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit	HOF
hasoc_english_4	!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny	HOF
hasoc_english_5	!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;	HOF
hasoc_english_6	"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""	HOF
hasoc_english_7	"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!"""	HOF
hasoc_english_8	!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;	HOF
hasoc_english_9	""" &amp; you might not get ya bitch back &amp; thats that """	HOF
hasoc_english_10	""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch"	HOF
hasoc_english_11	""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"	HOF
hasoc_english_12	""" Murda Gang bitch its Gang Land """	HOF
hasoc_english_13	""" So hoes that smoke are losers ? "" yea ... go on IG"	HOF
hasoc_english_14	""" bad bitches is the only thing that i like """	HOF
hasoc_english_15	""" bitch get up off me """	HOF
hasoc_english_16	""" bitch nigga miss me with it """	HOF
hasoc_english_17	""" bitch plz whatever """	HOF
hasoc_english_18	""" bitch who do you love """	HOF
hasoc_english_19	""" bitches get cut off everyday B """	HOF
hasoc_english_20	""" black bottle &amp; a bad bitch """	HOF
hasoc_english_21	""" broke bitch cant tell me nothing """	HOF
hasoc_english_22	""" cancel that bitch like Nino """	HOF
hasoc_english_23	""" cant you see these hoes wont change """	HOF
hasoc_english_24	""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up"	HOF
hasoc_english_25	""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q"	HOF
hasoc_english_26	""" her pussy lips like Heaven doors "" &#128524;"	HOF
hasoc_english_27	""" hoe what its hitting for """	HOF
hasoc_english_28	""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;"	HOF
hasoc_english_29	""" i need a trippy bitch who fuck on Hennessy """	HOF
hasoc_english_30	""" i spend my money how i want bitch its my business """	HOF
hasoc_english_31	""" i txt my old bitch my new bitch pussy wetter """	HOF
hasoc_english_32	""" i'd say im back to the old me but my old bitches would get excited "" &#128524;"	HOF
hasoc_english_33	""" if you aint bout that Murder Game pussy nigga shut up """	HOF
hasoc_english_34	""" if you're toes ain't done you pussy stinks """	HOF
hasoc_english_35	""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """	HOF
hasoc_english_36	""" is that ya bitch """	HOF
hasoc_english_37	""" it aint nothing to cut a bitch off """	HOF
hasoc_english_38	""" jus meet son now he ya mane ass bitches "" #Shots"	HOF
hasoc_english_39	""" lames crying over hoes thats tears of a clown """	HOF
hasoc_english_40	""" like Snoop said in 94 we dont love these hoes """	HOF
hasoc_english_41	""" momma said no pussy cats inside my doghouse """	NOT
hasoc_english_42	""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC"	HOF
hasoc_english_43	""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U"	HOF
hasoc_english_44	""" pimps up pimps up hoes down "" Future voice"	HOF
hasoc_english_45	""" post a picture of that pussy get 200 likes """	HOF
hasoc_english_46	""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b"	HOF
hasoc_english_47	""" quick piece of pussy call it a drive by """	HOF
hasoc_english_48	""" running round here like some brand new pussy thats bout to get fucked """	HOF
hasoc_english_49	""" these bitches even worst they'll send them guys for you """	HOF
hasoc_english_50	""" these hoes like niggas that spend money not talk bout it """	HOF
hasoc_english_51	""" we dont trust these niggas all these bitches """	HOF
hasoc_english_52	""" yall niggas b cuffing hoes cause yall aint never have bitches """	HOF
hasoc_english_53	""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;"	HOF
hasoc_english_54	""" young Pill Chamberlain these bitches love my music """	HOF
hasoc_english_55	"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but........."""	HOF
hasoc_english_56	"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight"""	HOF
hasoc_english_57	"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it"""	HOF
hasoc_english_58	"""&amp; he's gone always be a hoe"""	HOF
hasoc_english_59	"""...Son of a bitch took my Tic Tacs.""

I like this movie."	HOF
hasoc_english_60	"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons"	HOF
hasoc_english_61	"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet"	HOF
hasoc_english_62	"""@A7XDemery: I'm a fucking fag they said"""	HOF
hasoc_english_63	"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?"	HOF
hasoc_english_64	"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad"	NOT
hasoc_english_65	"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes"	HOF
hasoc_english_66	"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!"	HOF
hasoc_english_67	"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles"	NOT
hasoc_english_68	"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol"	NOT
hasoc_english_69	"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S"	HOF
hasoc_english_70	"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?"	HOF
hasoc_english_71	"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao"	NOT
hasoc_english_72	"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch"	HOF
hasoc_english_73	"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!"	HOF
hasoc_english_74	"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit"""	HOF
hasoc_english_75	"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn"	HOF
hasoc_english_76	"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!"	NOT
hasoc_english_77	"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol"	HOF
hasoc_english_78	"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance"	HOF
hasoc_english_79	"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol"	HOF
hasoc_english_80	"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"""	HOF
hasoc_english_81	"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples"	HOF
hasoc_english_82	"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches.."	HOF
hasoc_english_83	"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof"	HOF
hasoc_english_84	"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe"	HOF
hasoc_english_85	"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"	HOF
hasoc_english_86	"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad"	HOF
hasoc_english_87	"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol"	HOF
hasoc_english_88	"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE"	HOF
hasoc_english_89	"""@CASHandBOOBIES: I been kidnapped yo bitch"""	HOF
hasoc_english_90	"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican"	HOF
hasoc_english_91	"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo"	HOF
hasoc_english_92	"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!"	HOF
hasoc_english_93	"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h"	HOF
hasoc_english_94	"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?"""	HOF
