BC0,UNT
BC1,TIN
BC2,TIN
BC3,TIN
BC4,UNT
BC5,TIN
BC6,UNT
BC7,UNT
BC8,UNT
BC9,TIN
BC10,UNT
BC11,TIN
BC12,TIN
BC13,UNT
BC14,UNT
BC15,TIN
BC16,TIN
BC17,TIN
BC18,UNT
BC19,TIN
BC20,UNT
BC21,UNT
BC22,TIN
BC23,TIN
BC24,UNT
BC25,TIN
BC26,TIN
BC27,TIN
BC28,UNT
BC29,TIN
BC30,UNT
BC31,TIN
BC32,TIN
BC33,UNT
BC34,TIN
BC35,TIN
BC36,UNT
BC37,UNT
BC38,TIN
BC39,TIN
BC40,UNT
BC41,UNT
BC42,UNT
BC43,UNT
BC44,TIN
BC45,TIN
BC46,TIN
BC47,TIN
BC48,TIN
BC49,UNT
BC50,TIN
BC51,TIN
BC52,UNT
BC53,TIN
BC54,TIN
BC55,TIN
BC56,UNT
BC57,TIN
BC58,UNT
BC59,TIN
BC60,TIN
BC61,UNT
BC62,UNT
BC63,TIN
BC64,TIN
BC65,UNT
BC66,UNT
BC67,TIN
BC68,UNT
BC69,TIN
BC70,TIN
BC71,UNT
BC72,TIN
BC73,TIN
BC74,TIN
BC75,TIN
BC76,TIN
BC77,TIN
BC78,UNT
BC79,TIN
BC80,TIN
BC81,TIN
BC82,TIN
BC83,TIN
BC84,UNT
BC85,UNT
BC86,UNT
BC87,TIN
BC88,TIN
BC89,TIN
BC90,TIN
BC91,TIN
BC92,TIN
BC93,TIN
BC94,UNT
BC95,TIN
BC96,TIN
BC97,TIN
BC98,TIN
BC99,TIN
BC100,UNT
BC101,TIN
BC102,TIN
BC103,UNT
BC104,TIN
BC105,UNT
BC106,TIN
BC107,TIN
BC108,TIN
BC109,TIN
BC110,TIN
BC111,UNT
BC112,UNT
BC113,UNT
BC114,UNT
BC115,TIN
BC116,TIN
BC117,TIN
BC118,TIN
BC119,UNT
BC120,TIN
BC121,TIN
BC122,TIN
BC123,TIN
BC124,TIN
BC125,TIN
BC126,TIN
BC127,TIN
BC128,TIN
BC129,TIN
BC130,TIN
BC131,TIN
BC132,TIN
BC133,UNT
BC134,TIN
BC135,UNT
BC136,TIN
BC137,TIN
BC138,TIN
BC139,UNT
BC140,UNT
BC141,UNT
BC142,TIN
BC143,TIN
BC144,TIN
BC145,TIN
BC146,UNT
BC147,UNT
BC148,UNT
BC149,UNT
BC150,TIN
BC151,TIN
BC152,UNT
BC153,TIN
BC154,UNT
BC155,UNT
BC156,TIN
BC157,UNT
BC158,TIN
BC159,UNT
BC160,UNT
BC161,TIN
BC162,TIN
BC163,UNT
BC164,TIN
BC165,TIN
BC166,UNT
BC167,UNT
BC168,UNT
BC169,TIN
BC170,TIN
BC171,TIN
BC172,TIN
BC173,UNT
BC174,TIN
