2569	RT @USER: @USER كِل عام و أنتي بخير يا سيّدة عامك ، يا أغلى من كبر و أكثر من أحب❤️	0
2174	RT @USER: @USER يا هواي ويا جنوني يا من تساوي عيونيي💙	0
4841	RT @USER: كل ما القعدة طالت في الكرسي كل ما الصمغ مسك تمااام وتاني الفكه صعبه ، الحكومة المدنية يا عالم ، يا عالم الحكومة المدنية.…	0
2964	رجولك عسل يا قلبي .. يا ليت اصير دلاغك — يع URL	0
1522	@USER يا فهد يا نمر يا بطل يا كل شيء حلو انت	0
1095	يا وحيدي بالشعُور يا حبي لحالي *.	0
2823	RT @USER: احمينا يا اخ كبير احمينا يا اخ كبير همبربروورج <LF>اخر حلقة من اخ كبير مسخرة شاملة	0
6536	@USER <LF>انت ياض يا علق يا مش عاايزين فزلكة😒	1
451	RT @USER: يا رب العباد و يا مفرج الكربات<LF> اعني في مصيبي وهوّن علي حزني وارحمني في ديني واجعل القرآن ربيع صدري وارزقني من حيث لا ادر…	0
6883	RT @USER: يا بوليس يا ماعندك دم <LF>الكبسة بقت بكم<LF>#تجمع_المهنيين_السعوديين URL	1
7227	@USER يا سلام يا سلام يا عومري يا ابو مولد	0
1832	@USER @USER @USER @USER @USER @USER اعرف الميموني يا مطيري يا شمراني ما قد سمعت انهم يرجعوا لشهران	0
6096	يا زفير الموج يا اللولو ويا المرجاني ..	0
936	@USER آمييين يا عمري وياك يا رب ❤️	0
4589	@USER يارب يارب يارب يارب يارب يا اسرع يا الله فرح قلب الختياره المتفاعله معاكم يا ابني ربي يحفضك	0
2333	يا لغزي يا صعب المنال<LF>يا حلم ولا بالخيال🎶💕	0
883	RT @USER: يا بني أدم يا غبي لا تتظاهر بالعمى و أنت تشوف كل شي بوضوح وتطوف زلاتهم دوسهم و إمشي	1
6857	يا اكون كل شي يا لا شي الوسطية ابد مايلزمني.	0
1320	يا ماخذه اجمل شعور يا ماخذه قلبي معاك💜💜@USER	0
278	الحظ ماله خوي والحزن ماله ضمير<LF>و إن قلت يا هونها ما هوب يا هونها.	0
2978	@USER التوقيت مستحيل ينفع انت عندك ماتش يا يخليك اول الدوري يا يخليك التالت بعد يومين<LF>انت جربت قبل كدة ساعة جاريدو في التتش وقولتلهم يا افريقيا يا الرحيل وهزقتهم قبل ماتش المغرب التطواني وخرجوا وخسروا دوري وكاس وموسم كان كارثة .. التوقيت يفرق ل	0
500	RT @USER: الظاهر يوم غنيت " لفي بينا يا دنيا دوخينا يا دنيا" كانت ساعة استجابة	0
6222	@USER انت تشرف أي مكان يا بو حميد يا غالي وربنا يوفقك دايماً إن شاء الله	0
4528	RT @USER: يا لاعيبه يا جامدين المباراه سهله باذن الله ...ما تصعبوهاش عليكو وعلينا ... احنا ما يهمناش يتحفل علينا من حد احنا يهمنا نكس…	0
3673	@USER الله يسلمك يا أميرة ربنا يخليكي يا حبيبتي💖💖	0
5563	RT @USER: مُرغم عليك يا صُبح، مغصوب يا ليل<LF>لا دخلتها برجليّا ولا كان لي ميل<LF>شايلينّني شيل دخلت أنا في الحياة<LF>وبكرة هخرج منها شايلي…	0
5824	RT @USER: يا منير يا رايق ❤❤❤❤❤💖💖💖 <LF>انت ازاي كده 😍😍 URL	0
6834	ستظل كلامته منقوشه بشرف سيرته وطهارة قلبه ..<LF>رحمة الله عليه فقدت الكويت فارسا<LF>الله يرحمك يا حبيب قلب اختك يا ناصر URL	0
1163	@USER @USER @USER النصر يحتزم بجمهوره ورجالاته فقط يا مسيار يا ابو دوري نقطي واحد زيك زي الفتح لا تهايط على عمك اللي داعس عليك رايح جاي من ٨ سنوات	1
1747	قلتك احسن يا علي يا جبر يا معرص	1
2898	RT @USER: ياربنا يا تواب يا كريم :) URL	0
3792	" الست أم كلثوم قالت: يالي ظلمتوا الحب وقولتوا وعبتوا عليه، قولتوا عليه مش عارف إيه، يا العيب فيكم يا في حبايبكم، أما الحب يا روحي عليه. "	0
4666	- يا بلدنا يا بلد، هو من أمتى الولد، بيخاف من أمه؟ لما في الضلمة تضمه؟<LF>- من يوم ما اتولد،، انت هتستعبط؟	0
5160	RT @USER: "ستُودّعين الحزنَ يا روحُ إصبري!<LF>فاللهُ يا روحي يحبُّ الصابرين"❤️	0
7571	غنى يا ميسى اضرب يا ميسى 😍😍😍<LF>الكبير كبير 😋😋	0
2126	جيتك يا رفيقي يا رفيقي <LF>كنه المطر يوم هلتّه .. ♥️♥️	0
5581	ايه يا نصوحي يا بيحصل ده بسسسس 😮😂😂😂😂 URL	0
7989	RT @USER: الله يلعنك يا ظلام<LF>الله يلعنك يا ظلام<LF>الله يلعنك يا ظلام<LF>الله يلعنك يا ظلام<LF>الله يلعنك يا ظلام<LF>الله يلعنك يا ظلام<LF>ا…	0
6603	يا ماخذٍ كل الحلا يا احلى ما عيني رأت 💙.	0
3101	مبروك لنا كهلاليين عودة #الاتحاد من الباب الكبير هي بمثابة بطولة جديدة للكورة السعودية واليوم الاتحاد اثبت للجميع مهما كانت الظروف لن ولن يسمح ان يكون محطة عبور من كل قلبي💙 شكراً يا عميييد شكراً يا اتحاااد كنتم بالموعد وهنياً للاتحاديين بهذي الروح القتاليه🔥💛🖤 #الاتحاد_النصر URL	0
1717	شكلها اشتغالة كبييرة يا وااد يا مسلم خد حذرك اوااد عشان الناس بقت وحشة جدا... — يعم عادي معدتش حاجه تفرق😂😂💔 URL	0
4273	يا رب يمشي يا رب بقي يا رب يا رب يا رب	0
1138	@USER @USER يا رمة يا دجاجة منصور جاب اسيا مرتين للاتحاد يا رخمة و تقول فريق منصور استح ع وجهك	1
389	@USER @USER @USER افايا خو روضه ياما نخيناك ولا رد يا حيف يا بن ثانى يا طير السعد تحياتى الشمرى	0
6786	خليتني اجي عندك واهدي يا جامد انت آه يا واد يا معدي يا واخذ انت الحياه والروح وياك	0
3304	ما افهم لما ترسل سنابه برايفت وتحطها ستوري خلاص يا برايفت يا ستوري ليش المغثه	0
1097	مابي منك كثير يا ابتساماتي يا فرحي يا عيون الضرير💘	0
1261	@USER يا ربّ يا بندر يا ربّ والله مره خاطري بهالبطوله 😭	0
